scbkod;n;ref_code
66208;605;SE/066208000
98086;604;SE/098086000
58400;601;SE/058400000
38127;598;SE/038127000
58006;596;SE/058006000
30502;594;SE/030502000
148502;594;SE/148502000
58615;593;SE/058615000
98068;591;SE/098068000
58030;588;SE/058030000
118306;588;SE/118306000
148028;588;SE/148028000
98059;584;SE/098059000
156316;581;SE/156316000
76407;580;SE/076407000
68404;578;SE/068404000
173704;578;SE/173704000
13902;577;SE/013902000
98083;576;SE/098083000
38102;574;SE/038102000
126706;574;SE/126706000
38104;572;SE/038104000
19111;567;SE/019111000
118027;567;SE/118027000
158309;566;SE/158309000
143003;565;SE/143003000
98065;564;SE/098065000
58108;563;SE/058108000
123004;563;SE/123004000
238006;561;SE/238006000
98081;560;SE/098081000
30501;559;SE/030501000
98062;552;SE/098062000
58403;550;SE/058403000
128713;548;SE/128713000
158421;548;SE/158421000
84004;547;SE/084004000
143004;543;SE/143004000
38128;542;SE/038128000
98033;542;SE/098033000
128700;541;SE/128700000
88404;539;SE/088404000
98078;538;SE/098078000
98060;537;SE/098060000
84011;536;SE/084011000
148506;535;SE/148506000
198012;534;SE/198012000
38011;529;SE/038011000
38106;529;SE/038106000
98054;526;SE/098054000
168638;524;SE/168638000
18804;523;SE/018804000
98014;523;SE/098014000
38126;520;SE/038126000
116016;520;SE/116016000
68018;519;SE/068018000
118113;518;SE/118113000
142108;518;SE/142108000
88506;517;SE/088506000
168009;517;SE/168009000
116011;512;SE/116011000
98070;511;SE/098070000
112102;510;SE/112102000
168627;507;SE/168627000
84002;504;SE/084002000
158210;504;SE/158210000
98026;501;SE/098026000
168404;501;SE/168404000
178505;501;SE/178505000
38009;500;SE/038009000
148035;500;SE/148035000
98003;499;SE/098003000
116018;499;SE/116018000
58412;497;SE/058412000
198008;496;SE/198008000
68023;495;SE/068023000
236108;494;SE/236108000
166308;490;SE/166308000
98053;489;SE/098053000
116002;486;SE/116002000
12507;485;SE/012507000
118307;482;SE/118307000
158417;482;SE/158417000
168007;482;SE/168007000
178508;479;SE/178508000
38116;478;SE/038116000
19107;477;SE/019107000
168004;476;SE/168004000
168512;474;SE/168512000
166310;472;SE/166310000
58205;471;SE/058205000
38125;470;SE/038125000
188024;468;SE/188024000
58123;467;SE/058123000
12505;466;SE/012505000
66502;464;SE/066502000
58007;463;SE/058007000
58023;461;SE/058023000
98021;460;SE/098021000
18100;459;SE/018100000
78004;459;SE/078004000
116806;459;SE/116806000
148504;458;SE/148504000
58120;457;SE/058120000
58609;456;SE/058609000
38012;452;SE/038012000
118108;452;SE/118108000
38112;451;SE/038112000
98030;451;SE/098030000
98046;451;SE/098046000
98058;451;SE/098058000
88503;450;SE/088503000
148508;450;SE/148508000
58619;449;SE/058619000
58409;447;SE/058409000
98020;447;SE/098020000
98067;445;SE/098067000
123314;444;SE/123314000
158413;444;SE/158413000
150405;442;SE/150405000
158418;442;SE/158418000
38124;440;SE/038124000
156610;439;SE/156610000
168005;439;SE/168005000
84012;438;SE/084012000
13604;435;SE/013604000
19102;435;SE/019102000
98007;434;SE/098007000
30504;430;SE/030504000
156615;429;SE/156615000
58118;426;SE/058118000
30505;425;SE/030505000
84018;424;SE/084018000
248010;422;SE/248010000
158303;417;SE/158303000
152713;415;SE/152713000
198013;415;SE/198013000
118022;413;SE/118022000
58406;411;SE/058406000
78026;408;SE/078026000
84017;407;SE/084017000
168126;406;SE/168126000
166303;405;SE/166303000
58209;400;SE/058209000
58606;398;SE/058606000
98044;396;SE/098044000
38015;394;SE/038015000
56005;394;SE/056005000
156601;394;SE/156601000
188500;394;SE/188500000
13607;393;SE/013607000
78104;390;SE/078104000
98031;390;SE/098031000
76002;389;SE/076002000
88511;386;SE/088511000
98066;386;SE/098066000
238008;385;SE/238008000
138322;384;SE/138322000
38007;383;SE/038007000
58026;382;SE/058026000
118114;381;SE/118114000
98079;380;SE/098079000
158406;380;SE/158406000
38115;378;SE/038115000
116017;378;SE/116017000
98038;377;SE/098038000
38120;376;SE/038120000
178506;376;SE/178506000
158411;375;SE/158411000
98017;374;SE/098017000
58610;373;SE/058610000
38103;370;SE/038103000
98087;370;SE/098087000
156620;370;SE/156620000
152702;369;SE/152702000
58016;368;SE/058016000
158313;367;SE/158313000
66207;365;SE/066207000
168008;365;SE/168008000
156602;364;SE/156602000
98016;363;SE/098016000
198004;363;SE/198004000
158409;362;SE/158409000
156510;360;SE/156510000
168649;359;SE/168649000
98024;358;SE/098024000
138214;353;SE/138214000
156604;353;SE/156604000
38008;352;SE/038008000
84007;352;SE/084007000
98052;352;SE/098052000
152703;352;SE/152703000
98036;348;SE/098036000
168643;344;SE/168643000
78005;343;SE/078005000
98069;342;SE/098069000
156603;342;SE/156603000
98042;335;SE/098042000
98022;334;SE/098022000
98027;333;SE/098027000
98039;332;SE/098039000
98043;332;SE/098043000
98050;328;SE/098050000
84009;318;SE/084009000
98019;315;SE/098019000
238011;314;SE/238011000
58312;313;SE/058312000
38020;308;SE/038020000
98023;308;SE/098023000
168313;306;SE/168313000
98056;304;SE/098056000
128707;303;SE/128707000
128717;301;SE/128717000
168618;301;SE/168618000
158424;299;SE/158424000
98088;296;SE/098088000
128000;296;SE/128000000
152712;293;SE/152712000
156621;293;SE/156621000
152700;290;SE/152700000
123302;287;SE/123302000
178406;286;SE/178406000
98013;285;SE/098013000
98082;285;SE/098082000
58407;280;SE/058407000
98028;280;SE/098028000
98064;280;SE/098064000
168629;280;SE/168629000
38123;278;SE/038123000
98074;278;SE/098074000
98049;276;SE/098049000
98045;275;SE/098045000
155210;275;SE/155210000
123311;270;SE/123311000
98090;265;SE/098090000
166304;264;SE/166304000
168300;261;SE/168300000
98032;260;SE/098032000
38110;259;SE/038110000
251002;259;SE/251002000
38010;252;SE/038010000
19103;251;SE/019103000
156622;251;SE/156622000
38122;250;SE/038122000
158426;250;SE/158426000
98051;249;SE/098051000
155212;246;SE/155212000
158408;246;SE/158408000
98008;244;SE/098008000
58404;243;SE/058404000
98041;243;SE/098041000
168617;242;SE/168617000
232100;238;SE/232100000
156202;236;SE/156202000
